drug_name,num_prescriber,total_cost
VENLAFAXINE HCL,29724,21775103
DESFERAL MESYLATE,3,29113
NITROFURANTOIN MONO-MACRO,46076,38080615
OPANA ER,6151,123114455
METOPROLOL-HYDROCHLOROTHIAZIDE,1843,1390480
XYREM,707,131940955
BUPIVACAINE HCL,5,1512
KINERET,65,3250879
ISOSORBIDE DINITRATE,20108,29123259
HIPREX,13,25527
SURMONTIL,58,306170
FORTAMET,64,2109712
CALCIUM ACETATE,12424,65609637
CIPRO,16,43069
AVASTIN,116,17191060
TAZORAC,104,819297
HYDROCHLOROTHIAZIDE,222570,99619559
ZYLET,222,1296311
MICARDIS HCT,500,1340090
BRINTELLIX,5035,37024232
ILARIS,5,1409580
CEFTIN,6,59183
TROPHAMINE,1,1885
ACTONEL,2589,11953954
JEVTANA,2,241284
PARNATE,34,520183
MALATHION,10,41409
WYMZYA FE,9,6895
BETAMETHASONE VALERATE,4579,5112312
QUESTRAN LIGHT,1,2951
SINGLE USE SWAB,6095,605250
TRIAMCINOLONE ACETONIDE,92663,57005741
NUCYNTA ER,2089,24866219
FERREX 150 FORTE,1,88
NULOJIX,18,596842
SINEMET 25-100,172,617541
FLUMAZENIL,30,25369
PRIMLEV,4,72308
EPANED,4,19610
ZENATANE,6,33107
INVEGA TRINZA,74,6167203
SUSTIVA,2614,57442558
LOXAPINE,3145,3364663
SEREVENT DISKUS,3290,16355209
VAQTA,35,77598
TICLOPIDINE HCL,2,1543
RASUVO,28,281339
GAMMAKED,99,19608125
VALTREX,185,1063155
ZYPREXA RELPREVV,162,5956765
METHAZOLAMIDE,1317,10895527
FAMCICLOVIR,2401,2535421
IBUDONE,5,6609
MICROGESTIN FE,454,117453
CLINDAMYCIN PHOSPHATE-D5W,6,5321
MEFLOQUINE HCL,57,53716
LEVORPHANOL TARTRATE,76,1844032
ALIMTA,44,3937567
ZOLPIDEM TARTRATE ER,11453,15919422
EMTRIVA,965,8969928
CAREFINE PEN NEEDLE,4,689
BEXAROTENE,17,7072228
NORGESTIMATE-ETHINYL ESTRADIOL,156,28738
MINITRAN,10,16660
QUASENSE,9,11273
ZOVIRAX,165,2174326
CISPLATIN,14,9644
APTIVUS,111,2162529
PERFOROMIST,410,3923523
RYTARY,630,15710926
CIMZIA,1186,82817173
DESVENLAFAXINE FUMARATE ER,2,3189
FOLIC ACID,2355,361914
GASTROCROM,4,104411
DIGITEK,10384,8559329
COMBIGAN,20372,185560367
MAGELLAN INSULIN SYRINGE,58,74762
SIMPONI,891,67759982
LYSODREN,9,77512
GIAZO,3,16906
FLUDARABINE PHOSPHATE,1,6270
ZOSTAVAX,14116,142645581
TRANYLCYPROMINE SULFATE,426,1869998
TOPOSAR,2,880
SECTRAL,12,32156
GLUCOPRO,1,161
STRIBILD,2593,246401802
COMPLETE NATAL DHA,1,291
OMNIPOD,1,5512
LIPITOR,2444,11114169
LOCOID LIPOCREAM,2,20570
ORTHO-CYCLEN,3,1440
ERYTHROMYCIN,13371,13064348
O-CAL FA,1,88
STERI-PAD,1,161
DUETACT,11,64786
NPLATE,26,2816992
BUTALBITAL-ASPIRIN-CAFFEINE,1650,1801065
BOSULIF,133,17558499
COUMADIN,12270,25749976
PRUDOXIN,33,181236
ELIGARD,15,170838
PRED-G,6,21306
ZIAC,44,95507
AGRYLIN,7,64727
MARGESIC,3,3369
MIDODRINE HCL,15731,26935423
VECTICAL,140,463926
CONCEPT DHA,3,950
MITOMYCIN,12,293950
ALPHAGAN P,15800,148989363
AMBISOME,10,155654
GRALISE,1521,13930208
MENOSTAR,80,188239
ALDURAZYME,4,3090449
DEXILANT,42177,370646521
DYRENIUM,355,1377155
ALCOHOL PREP SWABS,78,7967
PRIMSOL,4,16107
SEROQUEL XR,21243,487194058
PAPAVERINE HCL,30,26592
VOLTAREN-XR,4,15558
AXIRON,376,3561558
NEOMYCIN-POLYMYXIN-HC,2541,1722551
LUTERA,168,33743
PENTAZOCINE-NALOXONE HCL,514,1523635
FABRAZYME,27,9724536
ALBENZA,13,1446848
PANRETIN,2,130994
AVYCAZ,3,106112
COLYTE WITH FLAVOR PACKS,26,20567
KURVELO,37,4561
EXELDERM,11,40911
TREXALL,50,128820
FOCALIN XR,113,564040
ZELAPAR,53,2533680
CALCITRIOL,21950,25216146
CORGARD,87,201556
OXAZEPAM,3176,3038259
LEXAPRO,1877,6934144
PEG-3350 WITH FLAVOR PACKS,38,14013
CARBOPLATIN,112,169828
ZENPEP,2416,33458719
VASERETIC,12,58327
MENTAX,21,51037
LONSURF,3,264844
AMILORIDE-HYDROCHLOROTHIAZIDE,2328,723459
PROMETHEGAN,207,750399
ZOVIA 1-50E,46,14118
PROPAFENONE HCL ER,2451,25768198
DEXMETHYLPHENIDATE HCL,246,257238
GLIMEPIRIDE,99552,69889012
PENTASA,3213,46945337
ACITRETIN,946,15101067
ZOSYN,148,682037
FLUOROMETHOLONE,5242,16941824
BD INSULIN SYRINGE ULT-FINE II,1,302
BYDUREON PEN,3911,53321154
FLUORIDE,10,1311
ERIVEDGE,146,23776136
AVONEX ADMINISTRATION PACK,250,19945591
LUCENTIS,28,2009322
FLUNISOLIDE,1590,1738426
HARVONI,5221,5992222543
ARANELLE,21,7448
RIFAMPIN,2143,2490557
PREVACID,3298,21328259
FUROSEMIDE,248468,134482049
RAZADYNE,4,11910
E.E.S. 400,23,116711
FAMOTIDINE,91222,39072588
ROPINIROLE ER,2065,10585286
VICODIN,689,920114
ESTRADIOL-NORETHINDRONE ACETAT,933,1932908
TRINATAL RX 1,6,649
SURE COMFORT ALCOHOL,497,102975
DEMADEX,29,59490
ZYFLO CR,128,5780926
ADVICOR,253,921404
ZEGERID,253,5165254
MAPROTILINE HCL,195,195152
GAMASTAN S-D,12,108258
CEFAZOLIN SODIUM-DEXTROSE,13,6296
ECONAZOLE NITRATE,11108,89841622
VFEND,3,117688
MARPLAN,25,164467
HYDROMORPHONE HCL,26209,23150752
CILOSTAZOL,26269,14627039
NYSTATIN,52306,37415358
ATROVENT HFA,8652,46775090
SUPRAX,130,577497
LUPRON DEPOT-PED,10,219837
KEYTRUDA,9,1625187
HECTOROL,37,410317
CAMPRAL,1,1253
CEFTAZIDIME,216,482481
RILUTEK,12,330640
FEMRING,64,389227
FENTANYL CITRATE,161,4807000
FLUVASTATIN ER,1,2556
NAPROXEN SODIUM CR,11,321095
ALCOHOL PADS,3834,3885640
WATER,461,227395
FML S.O.P.,88,181324
NABUMETONE,22715,16108784
AMLODIPINE BESYLATE-BENAZEPRIL,59655,77953450
FOLIC ACID-VIT B6-VIT B12,1,113
EFFER-K,31,6795
ERYTHROCIN STEARATE,165,1051773
NOVOLOG MIX 70-30,9030,99899175
ZETONNA,164,512168
NEFAZODONE HCL,1556,2137173
LUNESTA,832,4301520
TAMIFLU,9698,39134329
XERESE,1,11302
BISOPROLOL-HYDROCHLOROTHIAZIDE,21987,6392408
ANZEMET,5,315802
POTASSIUM CHLORIDE,178899,396467810
PHENDIMETRAZINE TARTRATE,1,522
LETAIRIS,1542,427119831
DORZOLAMIDE-TIMOLOL,22598,41870686
PODOFILOX,22,25402
OXACILLIN,2,7871
ZIANA,2,15503
XOPENEX,16,79513
RIZATRIPTAN,7613,5415773
PHENOBARBITAL SODIUM,4,48869
SELZENTRY,1102,38544368
MAXIDEX,7,8939
BUNAVAIL,33,221613
TOBI,1,61770
FOCALIN,15,24831
ERY-TAB,260,1205114
XYLON 10,1,2862
JUBLIA,541,5635213
VESTURA,78,49400
ZOLPIDEM TARTRATE,161874,89252015
SULFAMETHOXAZOLE-TRIMETHOPRIM,126301,21250039
STALEVO 50,11,93252
TASMAR,37,4879380
FLUOXETINE DR,251,505654
MYCOBUTIN,8,81324
BRIMONIDINE TARTRATE,22908,74265984
FLUTAMIDE,253,454457
PEGINTRON REDIPEN,4,152764
GLEOSTINE,37,153648
GRISEOFULVIN,49,160712
ULTRA-THIN II,93,44487
NOVOLOG MIX 70-30 FLEXPEN,15246,269737283
TRUSOPT,53,65129
CROMOLYN SODIUM,1530,1927810
ZITHRANOL,1,6950
TREXIMET,183,2182732
ANTIPYRINE-BENZOCAINE,11,2439
LOTRISONE,3,5162
HYDROCORTISONE VALERATE,3038,11049184
COLOCORT,10,14384
CODEINE SULFATE,639,654560
KIONEX,1839,2354966
PRED FORTE,269,1615216
OCTREOTIDE ACETATE,259,2579775
NORA-BE,153,39239
RIOMET,136,510113
MINIPRESS,2,2013
ENULOSE,3573,2076400
SOVALDI,1248,715153858
METHYCLOTHIAZIDE,136,82618
EDLUAR,93,439515
GLUCOTROL XL,180,180251
AZASAN,31,137352
STALEVO 75,16,122116
ETHOSUXIMIDE,571,1118601
CAPRELSA,31,4842955
ADEMPAS,433,97172180
LEVOFLOXACIN-D5W,215,172170
ELIXOPHYLLIN,55,137003
URSODIOL,10144,82204502
PENICILLIN G POTASSIUM,7,84968
PRENATABS FA,2,491
CEFAZOLIN,7,7886
KOMBIGLYZE XR,5125,40712178
CANCIDAS,19,980590
LAMICTAL XR,782,23328040
PEN NEEDLE,2770,827747
SELEGILINE HCL,1911,5174813
REGLAN,9,24086
BENICAR,46281,324468213
LEVITRA,167,688157
AMICAR,1,18195
DROSPIRENONE-ETHINYL ESTRADIOL,31,20988
ATRIPLA,5243,529041455
RAPAMUNE,238,5268113
METHADONE INTENSOL,41,27965
VITAMIN D2,1675,531487
FIORINAL WITH CODEINE #3,61,680858
MONTELUKAST SODIUM,145019,141089151
TRAMADOL HCL ER,4060,9258358
LEUPROLIDE ACETATE,3,33264
SOMA,56,649037
TAZICEF,13,24825
TYZEKA,13,148361
FORTAZ IN ISO-OSMOTIC DEXTROSE,4,18129
ZUBSOLV,170,1018279
BUTALBITAL-ACETAMINOPHEN,273,264338
SORINE,2,202
LUPRON DEPOT,369,15624325
PCE,1,4926
PIMTREA,45,17395
CONZIP,25,141601
SALICYLIC ACID,20,50214
ANAFRANIL,20,602049
CLARAVIS,24,128079
LESSINA,32,6473
CARDURA,97,149616
IPOL,9,5874
NIZORAL,5,3638
CUBICIN,1007,49383386
LEVOBUNOLOL HCL,2698,1685978
OB COMPLETE ONE,1,1780
SHAROBEL,50,10285
HYOSYNE,2,1694
VALCYTE,342,21414487
NORETHINDRONE,343,78966
CEREBYX,1,16442
VALCHLOR,43,4955398
RECLAST,1,22585
NITROLINGUAL,61,423159
PROZAC WEEKLY,57,159920
YERVOY,1,362637
FENTORA,88,17953060
KETEK,1,4023
MILLIPRED,19,51736
NORETHINDRON-ETHINYL ESTRADIOL,38,10215
SODIUM CITRATE & CITRIC ACID,57,37741
DIPENTUM,81,1284725
TOPROL XL,24322,30925459
SECONAL SODIUM,11,218390
REQUIP,95,488334
FLUPHENAZINE HCL,8691,4478628
PROLEUKIN,3,393612
TRANEXAMIC ACID,55,182045
INVOKAMET,962,7992052
INVEGA,7692,228829123
AUTOSHIELD PEN NEEDLE,8,5452
METHOXSALEN,15,618013
BELVIQ,1,2249
INSUMED,3,1360
TIZANIDINE HCL,71233,96457058
FIORINAL,39,165638
DEPLIN-ALGAL OIL,1,743
LANTUS SOLOSTAR,106353,2237688500
ERYPED 400,61,1163520
VERAPAMIL ER PM,2715,3144681
ZYDELIG,138,16264155
DANTRIUM,11,21536
FLUORIDEX DAILY DEFENSE,2,535
ERY,31,30408
VYFEMLA,3,1388
CLIMARA PRO,135,264276
AMPICILLIN-SULBACTAM,269,534958
PREVIFEM,207,37770
ACETASOL HC,2,2561
ISENTRESS,5259,367259871
AZTREONAM,56,571609
SINEMET 10-100,9,15172
HUMULIN R U-500,2479,107526736
TRI-ESTARYLLA,1,146
ROXICET,4,1102
GALANTAMINE HYDROBROMIDE,31,102391
MUSTARGEN,2,16023
DUREZOL,6056,83595892
FLECAINIDE ACETATE,15453,27493144
CLOZARIL,640,15174676
AVANDIA,39,203117
PRIVIGEN,196,34397062
CALCIPOTRIENE-BETAMETHASONE DP,92,1158861
RELPAX,1387,9508843
MOEXIPRIL HCL,1673,1013399
FRAGMIN,152,4438271
PROLASTIN C,684,103855972
PHENOBARBITAL,21108,15215812
OXISTAT,102,986889
AXERT,57,399197
MYCOPHENOLIC ACID,642,8730933
DILAUDID-HP,1,1000
CYSTADANE,29,1019367
PHENERGAN,1,652
TAMSULOSIN HCL,168687,410951158
NEXIUM I.V.,20,202049
PHENAZOPYRIDINE HCL,1852,1929341
PRINIVIL,184,189590
MACRODANTIN,26,108563
VIDEX,1,2634
MISOPROSTOL,3296,3996213
IRESSA,1,73262
DULOXETINE HCL,150377,685409843
1ST TIER UNIFINE PENTIPS,88,34149
ZYLOPRIM,25,35009
PROCTO-PAK,42,20349
LATUDA,14472,500857728
CLOTRIMAZOLE,12034,10373884
TROKENDI XR,501,7700458
MAGNESIUM SULFATE-D5W,3,5637
MYFORTIC,264,4590879
RIFABUTIN,134,1193979
FLUOROURACIL,7556,47022151
CUVPOSA,32,228159
BALSALAZIDE DISODIUM,3382,12750828
AK-POLY-BAC,73,27491
AUTOSHIELD DUO PEN NEEDLE,2113,2788628
ETHAMBUTOL HCL,1576,2332937
NORPRAMIN,25,81278
CLICKFINE,1295,466095
LOCOID,2,20830
TRAVATAN Z,27488,304289604
CHEMET,1,29808
SODIUM SULFACETAMIDE,5,5280
TOBRADEX ST,101,351012
PROGESTERONE,5486,9813925
ASTEPRO,174,472499
ISORDIL,48,506273
PREVIDENT 5000 ENAMEL PROTECT,37,8426
SPIRONOLACTONE-HCTZ,7321,8668599
AMITIZA,20974,167766530
NITROGLYCERIN,637,2333067
YAZ,18,22439
GABLOFEN,7,176972
DIANEAL WITH 1.5% DEXTROSE,2,40339
MENACTRA,19,59781
ALBUTEROL SULFATE,15931,21122655
BICILLIN L-A,79,482303
KARIVA,102,42029
TEKTURNA HCT,956,2489253
CLONIDINE,16358,50528348
LOTENSIN HCT,1,670
REMODULIN,6,1690321
FELDENE,5,15116
FLUDROCORTISONE ACETATE,14190,6085915
XIGDUO XR,62,343175
BRIELLYN,12,4149
PROSCAR,108,257415
MEKINIST,99,17547280
DIOVAN HCT,1330,4529824
LYRICA,108972,1526906113
QUESTRAN,4,7408
PROMACTA,442,39920013
LINEZOLID,48,855361
BACIIM,1,1486
DUTASTERIDE,1570,6273077
BROMFED DM,1,4385
SAFETYGLIDE INSULIN SYRINGE,80,58123
NALOXONE HCL,80,434087
INSPRA,32,100367
RUCONEST,3,3262023
INFANRIX DTAP,6,3431
DIETHYLPROPION HCL ER,1,1040
TESTOPEL,6,77778
DEXTROSE IN WATER,1138,1585162
SALSALATE,521,1508232
PENICILLIN V POTASSIUM,16036,3511665
PEG 3350-ELECTROLYTE,6740,4518254
PYRAZINAMIDE,24,41840
TRANDOLAPRIL-VERAPAMIL ER,17,29625
SENSIPAR,14318,866719403
ZIPSOR,92,764516
SELENIUM SULFIDE,1238,419147
BELLADONNA-OPIUM,4,36176
NEOMYCIN-POLYMYXIN-DEXAMETH,11221,7540585
LO LOESTRIN FE,90,121663
SILDENAFIL,3032,24546141
PROCYSBI,8,6570001
NATELLE ONE,1,1580
ZYFLO,16,509894
ENABLEX,3758,18568392
PREDNISOLONE,644,178072
PRAVACHOL,130,368553
ZIAGEN,86,589084
TRIAMTERENE-HYDROCHLOROTHIAZID,104378,49073614
URIBEL,5,9809
TRI-LINYAH,291,52131
INLYTA,181,35962978
POTASSIUM CITRATE ER,8618,38826784
TRIANEX,1,10417
PROPANTHELINE BROMIDE,61,49539
TRAMADOL HCL,219167,101308846
FLUCONAZOLE IN DEXTROSE,2,2202
PREVIDENT 5000 SENSITIVE,150,30260
DILTIAZEM HCL,28161,11696739
PHOSLYRA,130,425476
OXANDROLONE,211,3504161
UMECTA,1,3700
PRENATE CHEWABLE,1,1339
DIPROLENE AF,1,2213
ZONEGRAN,398,9752809
GLYXAMBI,43,357994
EC-NAPROSYN,3,4864
PINDOLOL,1905,2451184
METRO IV,4,1722
APEXICON E,5,42785
OMEPRAZOLE,270644,437690247
APTIOM,606,13985766
TOLAK,1,1688
SURE-FINE PEN NEEDLES,8,3591
DIHYDROERGOTAMINE MESYLATE,93,3605738
GAVILYTE-H AND BISACODYL,9,7534
MUPIROCIN,48669,21273353
BUTALBITAL-ACETAMINOPHEN-CAFFE,20352,23551592
PARICALCITOL,2806,19240959
NESTABS DHA,1,1036
NORDITROPIN FLEXPRO,202,7622417
VIBATIV,1,6884
ENBREL,6995,1226634370
EMOQUETTE,63,14160
ALPRAZOLAM INTENSOL,8,15263
ACEBUTOLOL HCL,3113,1081688
DECITABINE,3,366787
ALFUZOSIN HCL ER,11450,8305454
TASIGNA,1229,175208540
CABERGOLINE,1683,4629849
CEFTIBUTEN,3,10269
PROCARDIA XL,195,508067
LORYNA,115,75218
ALREX,1074,6502059
TRANDOLAPRIL,3877,1265063
GEMFIBROZIL,53153,22714181
TYLENOL-CODEINE NO.3,24,27303
AMRIX,148,2237689
GLYCOPYRROLATE,4422,4785191
DOXYCYCLINE MONOHYDRATE,14893,8833956
HUMULIN N,15038,86326307
URELLE,1,3445
INTERMEZZO,69,243623
EXALGO,344,8214297
CITRANATAL 90 DHA,4,4945
PREDNISOLONE SODIUM PHOSPHATE,237,223112
GENTAMICIN SULFATE,7927,6648086
PREVNAR 13,31,132559
BETIMOL,705,1614135
NAGLAZYME,7,7056828
GATIFLOXACIN,1468,11612391
AMITRIPTYLINE HCL,107375,71569320
COPAXONE,5398,1236227467
ZIPRASIDONE HCL,22599,92973795
PROPRANOLOL-HYDROCHLOROTHIAZID,297,150361
KLOR-CON 8,4888,3034460
ASMANEX,7040,34368434
NORETHIN-ETH ESTRA FERROUS FUM,22,6134
VOL-NATE,8,1512
ASTAGRAF XL,15,175163
INDAPAMIDE,12444,4916845
CYTOMEL,482,691414
RISEDRONATE SODIUM DR,764,3558871
CEFOXITIN,64,286414
HUMALOG MIX 50-50 KWIKPEN,795,15769695
NUVIGIL,3531,41022412
POTASSIUM BICARBONATE,27,4203
SSD,3171,1488569
ARTHROTEC 75,80,287105
INVANZ,2015,20496384
CLOBETASOL EMULSION,9,72547
NIACOR,478,161429
RAYOS,84,3756296
MYCAMINE,70,1510781
DEPAKOTE ER,1757,13125291
DIBENZYLINE,18,2460410
MIGERGOT,46,604922
STIMATE,1,7829
HYOSCYAMINE SULFATE ER,3,2263
TOLCAPONE,3,393443
METHSCOPOLAMINE BROMIDE,362,965986
PYRIDOSTIGMINE BROMIDE ER,24,305018
PREVIDENT,883,226804
CIPRO HC,18,62573
AMETHYST,46,25853
ALKERAN,1,2840
POTASSIUM CITRATE-CITRIC ACID,5,6199
PERCOCET,933,20571949
AVAPRO,569,1262550
ETIDRONATE DISODIUM,13,50349
METHYLPHENIDATE ER,5356,21447369
TRI-SPRINTEC,1039,176600
TRICITRATES,5,2883
NEPHRO-VITE RX,6,1929
KLOR-CON,361,1016971
STRIVERDI RESPIMAT,48,115905
ALCLOMETASONE DIPROPIONATE,674,1221079
RELNATE DHA,1,2295
AMANTADINE,12783,37013274
SODIUM BICARBONATE,678,831306
PRALUENT PEN,4,68066
ELOCON,6,8342
LOSARTAN-HYDROCHLOROTHIAZIDE,117842,74901471
BINOSTO,100,420712
TYBOST,19,53135
DOPAMINE HCL,1,495
APLENZIN,74,2179466
DICLOFENAC SODIUM,52977,105231159
RANEXA,23881,336191521
GRANISETRON HCL,124,378863
AMERGE,12,106466
ZATEAN-PN PLUS,3,2101
FLUVASTATIN SODIUM,1030,2176501
LANTUS,91197,1623149913
ROBINUL,1,383
DERMACINRX SILAPAK,1,57005
TRANSDERM-SCOP,3948,10711552
GLYDO,1,769
PROMETHAZINE-DM,27,2500
XGEVA,196,7531298
WARFARIN SODIUM,178391,178093073
KERALYT,1,464
ACTIMMUNE,21,14237715
QUINIDINE GLUCONATE,175,1001568
PROGESTERONE IN OIL,2,1998
GENERESS FE,15,20678
RETIN-A MICRO,3,15143
NOR-Q-D,2,1512
BUTALB-CAFF-ACETAMINOPH-CODEIN,1769,2522165
EPITOL,2746,2341947
GAUZE PADS,1,114
HUMIRA PEN,8180,1013755194
ULTRESA,2,69799
LATANOPROST,56374,106111417
COLYTE WITH FLAVOR PACKETS,14,5321
GIANVI,132,85935
USTELL,2,3580
CEFEPIME HCL,1150,3697039
DILANTIN,10095,14547893
HUMALOG MIX 75-25 KWIKPEN,7965,131276379
CORTISPORIN-TC,6,11448
TYSABRI,173,24314561
NORPACE,9,35415
TOPICORT,14,88595
SPRINTEC,1069,194391
BENZTROPINE MESYLATE,34829,23688634
ALINIA,62,1259742
LEVETIRACETAM,68980,90194238
FLURBIPROFEN SODIUM,436,344084
GLIPIZIDE ER,57062,32221348
FANAPT,2054,47025189
LOVENOX,694,7861687
CARNITOR,42,187643
CLARITHROMYCIN ER,601,909779
EASY TOUCH ALCOHOL PREP PADS,834,118367
REVLIMID,5487,1887150891
CINRYZE,96,83356736
FOSCARNET SODIUM,2,6363
CYMBALTA,3140,14570253
DESIPRAMINE HCL,2909,4308338
AMLODIPINE-ATORVASTATIN,3131,11384991
PNV-SELECT,2,1978
LENVIMA,33,8634824
RIVASTIGMINE,13444,48269497
VANTAS,1,45810
UNITHROID,330,252381
NEUT,3,10360
BETAMETHASONE DIPROPIONATE,13376,23481941
ZETIA,83267,1054879524
CATAPRES-TTS 3,131,786643
PACLITAXEL,69,132825
CYTOTEC,4,25180
SYMBYAX,47,332253
CLONIDINE HCL ER,102,417037
DOBUTAMINE HCL IN DEXTROSE,25,76768
DILT-XR,12586,9099651
LINDANE,23,55307
GLIPIZIDE,114187,39332829
ORENITRAM ER,226,55324595
LAMICTAL,2425,60155919
METHAMPHETAMINE HCL,52,597461
LOMEDIA 24 FE,11,9414
ALTABAX,14,60816
NEBUPENT,1,1627
HALOBETASOL PROPIONATE,2317,9475402
PIOGLITAZONE-GLIMEPIRIDE,202,1166479
STAVUDINE,279,395152
MEGESTROL ACETATE,15544,11498405
LAMIVUDINE HBV,527,3036848
DIHYDROCODEIN-ACETAMINOPH-CAFF,1,4592
AVELOX,7,32660
TRIMETHOBENZAMIDE HCL,170,220634
ORSYTHIA,247,53854
PENTAM 300,5,8029
METHOTREXATE SODIUM,1251,412267
PROCHLORPERAZINE EDISYLATE,7,32215
INSUPEN,202,75547
ZOFRAN ODT,7,181705
ESCITALOPRAM OXALATE,143621,105638908
ZEMAIRA,321,56545188
PENICILLIN GK-ISO-OSM DEXTROSE,2,13670
SYNERA,4,39956
JUXTAPID,91,51032176
MEROPENEM,1142,4432644
METOPROLOL SUCCINATE,205302,589621918
VELPHORO,856,25519303
CYCLOPHOSPHAMIDE,173,1575796
NOVOFINE AUTOCOVER,3735,6613782
SPIRONOLACTONE,121689,48213647
CIPROFLOXACIN-D5W,39,32591
HUMULIN 70-30,15648,110212593
UNIFINE PENTIPS PLUS,617,280320
NEO-SYNALAR,1,4616
DELESTROGEN,4,19280
FEXOFENADINE HCL,1,126
CURITY ALCOHOL PREPS,41,2068
LOPREEZA,94,158833
TOPCARE ULTRA COMFORT,9,1584
KORLYM,20,6218343
NADOLOL-BENDROFLUMETHIAZIDE,43,60983
HEXALEN,5,96536
TROSPIUM CHLORIDE,5069,13335498
CEFOTAXIME SODIUM,1,817
LETROZOLE,9965,10242417
RENAGEL,1237,26893629
BIDIL,1463,7017667
XARTEMIS XR,42,187856
AZELASTINE HCL,23922,46407884
RHEUMATREX,7,28730
PRECISION,1,159
ALOCRIL,54,160381
ACCURETIC,4,3962
NITROFURANTOIN,17633,16930228
ACTIGALL,20,158462
MAXZIDE-25 MG,63,38120
METHYLDOPA,1210,323217
HYQVIA,27,2247318
MYAMBUTOL,8,6363
RETIN-A,231,318060
AMLODIPINE-VALSARTAN,10457,28884895
ABILIFY DISCMELT,24,344104
DEXTROAMPHETAMINE-AMPHET ER,11172,39256103
HYDROXYCHLOROQUINE SULFATE,22342,272036619
ZOLOFT,666,2524876
OTEZLA,925,38705970
TRULICITY,1158,15332718
MOVANTIK,366,1554549
ADACEL TDAP,3224,5328243
AVELOX IV,4,5884
LESCOL,42,83352
ROPINIROLE HCL,74763,47011518
SULINDAC,6399,2869824
COMFORT EZ,813,769562
BETAPACE AF,34,239431
NIASPAN,382,1452700
NIACIN ER,24022,107149153
SOMAVERT,81,12327391
ADCETRIS,1,208201
NALBUPHINE HCL,131,680599
DILTIAZEM ER,30202,24133066
BESIVANCE,2516,35015877
ULTILET INSULIN SYRINGE,12,2818
ARANESP,1151,29866872
BETAGAN,6,5734
GELNIQUE,337,1569970
ZYTIGA,3180,637250237
SIRTURO,1,80555
SILVADENE,9,6388
FEMARA,139,1351015
LITHIUM CARBONATE,22645,6310090
PROCTOFOAM-HC,73,154122
CYCLOSET,274,2456700
DEPAKOTE SPRINKLE,352,2102226
SYMLINPEN 120,276,5760760
EURAX,47,406966
CHANTIX,5193,21538926
SUCRAID,6,695238
ARZERRA,1,189011
FLOMAX,57,211179
STERILE PADS,3,362
PROCALAMINE,1,1171
VERAPAMIL SR,2988,2196828
FLUCONAZOLE-NACL,28,20009
XODOL 7.5-300,1,16339
LITHOBID,109,583696
MECLIZINE HCL,64900,29093564
ZENZEDI,13,75516
AMINOCAPROIC ACID,31,253285
DEXTROSE 5%-0.2% NACL,4,4070
HUMULIN N KWIKPEN,1788,18287524
OXYTROL,345,2169029
LOFIBRA,18,32609
FENOGLIDE,13,87186
ALTOPREV,75,500847
FLUOCINOLONE ACETONIDE OIL,1238,4721276
GILDESS 24 FE,1,702
BUPRENEX,23,825013
PLEGRIDY PEN,304,35699775
FELBATOL,222,7110911
ZOLINZA,17,1932031
QNASL,639,2105513
SEROQUEL,1243,11474011
GLIPIZIDE XL,36465,19213642
BUPROPION XL,79075,115511642
TOLMETIN SODIUM,51,109528
AMPYRA,2054,149492978
LAZANDA,13,2681938
OXYCONTIN,40864,824417773
QNASL CHILDREN,1,4619
TELMISARTAN,11320,16742050
EXFORGE,2531,10699394
VENTAVIS,1,221825
CLEOCIN PHOSPHATE,5,7047
CLOTRIMAZOLE-BETAMETHASONE,36070,42248254
EPIPEN JR 2-PAK,2,10840
EASY TOUCH INSULIN SYRINGE,82,24598
PAROEX,94,15548
LISINOPRIL,280447,249019386
MULTIVITAMINS WITH FLUORIDE,2,214
SULFADIAZINE,50,289045
TRINESSA,488,93555
FORTESTA,27,166963
STALEVO 125,36,280587
CLARINEX,161,411942
CYCLOGYL,6,7380
HYOSCYAMINE SULFATE,380,258656
TIKOSYN,4033,99928904
VITAFOL-OB,1,419
FOSCAVIR,1,59130
ATOVAQUONE,636,14527910
HEALTHY ACCENTS UNIFINE PENTIP,89,37947
ESTRADIOL VALERATE,43,112651
CYTARABINE,2,385
MYSOLINE,184,7106784
LEVOCETIRIZINE DIHYDROCHLORIDE,22601,17018990
XOPENEX CONCENTRATE,2,10241
PRADAXA,35627,440515740
TENCON,4,2172
MAXI-COMFORT,4,864
CYCLOSERINE,3,42866
PYRIDOSTIGMINE BROMIDE,5543,12279199
NEOMYCIN-BACITRACIN-POLYMYXIN,27,14524
HETLIOZ,76,9261253
MORPHINE SULFATE ER,57637,287889389
DICLOFENAC POTASSIUM,7212,9424510
NEXA PLUS,1,1338
LORTAB,32,192771
TORISEL,3,231374
ALBUMIN (HUMAN),1,32253
VFEND IV,4,9299
CARBIDOPA-LEVODOPA,47691,81688629
ARCAPTA NEOHALER,258,1152266
COMBIVIR,98,1219469
CARISOPRODOL COMPOUND-CODEINE,3,8774
LEXIVA,937,25200474
NEOSPORIN G.U. IRRIGANT,16,36506
CORDARONE,13,27354
VOL-CARE RX,5,1406
DOXERCALCIFEROL,359,5089426
METHOTREXATE,25155,158268181
ASMANEX HFA,10,37567
VIGAMOX,6068,68508270
PREDNISONE INTENSOL,1,2342
BYETTA,4849,51689450
